n,GHE Load,ghe_Tin/HP_Tout,ghe_Tout/HP_Tin,bldgload
373,-7.38624,5.97226,6.85157,1000
374,-7.38622,5.97161,6.85093,1000
375,-7.38621,5.97097,6.85028,1000
376,-7.3862,5.97033,6.84964,1000
377,-7.38618,5.96969,6.849,1000
378,-7.38617,5.96906,6.84836,1000
379,-7.38615,5.96842,6.84772,1000
380,-7.38614,5.96779,6.84709,1000
381,-7.38613,5.96715,6.84645,1000
382,-7.38611,5.96652,6.84582,1000
383,-7.3861,5.96589,6.84519,1000
384,-7.38608,5.96527,6.84456,1000
385,-7.38607,5.96464,6.84393,1000
386,-7.38606,5.96402,6.84331,1000
387,-7.38604,5.96339,6.84268,1000
388,-7.38603,5.96277,6.84206,1000
389,-7.38601,5.96215,6.84144,1000
390,-7.386,5.96154,6.84082,1000
391,-7.38599,5.96092,6.8402,1000
392,-7.38597,5.96031,6.83959,1000
393,-7.38596,5.95969,6.83897,1000
394,-7.38594,5.95908,6.83836,1000
395,-7.38593,5.95847,6.83775,1000
396,-7.38592,5.95786,6.83714,1000
397,-7.3859,5.95725,6.83653,1000
398,-7.38589,5.95665,6.83592,1000
399,-7.38587,5.95605,6.83532,1000
400,-7.38586,5.95544,6.83471,1000
401,-7.38585,5.95484,6.83411,1000
402,-7.38583,5.95424,6.83351,1000
403,-7.38582,5.95364,6.83291,1000
404,-7.3858,5.95305,6.83231,1000
405,-7.38579,5.95245,6.83171,1000
406,-7.38578,5.95186,6.83112,1000
407,-7.38576,5.95127,6.83052,1000
408,-7.38575,5.95068,6.82993,1000
409,-7.38573,5.95009,6.82934,1000
410,-7.38572,5.9495,6.82875,1000
411,-7.38571,5.94891,6.82816,1000
412,-7.38569,5.94833,6.82758,1000
413,-7.38568,5.94774,6.82699,1000
414,-7.38566,5.94716,6.82641,1000
415,-7.38565,5.94658,6.82582,1000
416,-7.38564,5.946,6.82524,1000
417,-7.38562,5.94542,6.82466,1000
418,-7.38561,5.94485,6.82409,1000
419,-7.38559,5.94427,6.82351,1000
420,-7.38558,5.9437,6.82293,1000
421,-7.38557,5.94312,6.82236,1000
422,-7.38555,5.94255,6.82179,1000
423,-7.38554,5.94198,6.82121,1000
424,-7.38552,5.94141,6.82064,1000
425,-7.38551,5.94085,6.82007,1000
426,-7.3855,5.94028,6.81951,1000
427,-7.38548,5.93972,6.81894,1000
428,-7.38547,5.93915,6.81838,1000
429,-7.38545,5.93859,6.81781,1000
430,-7.38544,5.93803,6.81725,1000
431,-7.38543,5.93747,6.81669,1000
432,-7.38541,5.93691,6.81613,1000
433,-7.3854,5.93636,6.81557,1000
434,-7.38538,5.9358,6.81501,1000
435,-7.38537,5.93525,6.81446,1000
436,-7.38536,5.93469,6.8139,1000
437,-7.38534,5.93414,6.81335,1000
438,-7.38533,5.93359,6.8128,1000
439,-7.38532,5.93304,6.81224,1000
440,-7.3853,5.93249,6.81169,1000
441,-7.38529,5.93195,6.81115,1000
442,-7.38527,5.9314,6.8106,1000
443,-7.38526,5.93086,6.81005,1000
444,-7.38525,5.93031,6.80951,1000
445,-7.38523,5.92977,6.80896,1000
446,-7.38522,5.92923,6.80842,1000
447,-7.38521,5.92869,6.80788,1000
448,-7.38519,5.92815,6.80734,1000
449,-7.38518,5.92761,6.8068,1000
450,-7.38516,5.92708,6.80626,1000
451,-7.38515,5.92654,6.80573,1000
452,-7.38514,5.92601,6.80519,1000
453,-7.38512,5.92548,6.80466,1000
454,-7.38511,5.92495,6.80412,1000
455,-7.3851,5.92441,6.80359,1000
456,-7.38508,5.92389,6.80306,1000
457,-7.38507,5.92336,6.80253,1000
458,-7.38505,5.92283,6.802,1000
459,-7.38504,5.92231,6.80148,1000
460,-7.38503,5.92178,6.80095,1000
461,-7.38501,5.92126,6.80043,1000
462,-7.385,5.92074,6.7999,1000
463,-7.38499,5.92021,6.79938,1000
464,-7.38306,5.9197,6.79863,1000
465,-7.38157,5.91895,6.79771,1000
466,-7.38112,5.91803,6.79674,1000
467,-7.38141,5.91707,6.79581,1000
468,-7.382,5.91614,6.79495,1000
469,-7.38255,5.91529,6.79416,1000
470,-7.38293,5.9145,6.79342,1000
471,-7.38313,5.91377,6.79271,1000
472,-7.3832,5.91306,6.79202,1000
473,-7.38319,5.91237,6.79132,1000
474,-7.38316,5.91168,6.79063,1000
475,-7.38313,5.91099,6.78993,1000
476,-7.38311,5.9103,6.78924,1000
477,-7.3831,5.90961,6.78855,1000
478,-7.38309,5.90892,6.78786,1000
479,-7.38308,5.90823,6.78717,1000
480,-7.38307,5.90755,6.78649,1000
481,-7.38306,5.90687,6.7858,1000
482,-7.38305,5.90619,6.78512,1000
483,-7.38304,5.90551,6.78445,1000
484,-7.38302,5.90484,6.78377,1000
